updated_type,updated_subtype,binned_latitude,binned_longitude,alert_counts
Accident,Major,41.64,-87.59,1
Accident,Major,41.64,-87.58,2
Accident,Major,41.64,-87.56,1
Accident,Major,41.65,-87.6,2
Accident,Major,41.65,-87.59,51
Accident,Major,41.65,-87.58,3
Accident,Major,41.65,-87.57,2
Accident,Major,41.65,-87.56,1
Accident,Major,41.66,-87.6,73
Accident,Major,41.66,-87.59,11
Accident,Major,41.67,-87.61,17
Accident,Major,41.67,-87.6,7
Accident,Major,41.68,-87.67,8
Accident,Major,41.68,-87.61,38
Accident,Major,41.68,-87.6,7
Accident,Major,41.68,-87.56,1
Accident,Major,41.69,-87.68,1
Accident,Major,41.69,-87.67,6
Accident,Major,41.69,-87.66,11
Accident,Major,41.69,-87.63,1
Accident,Major,41.69,-87.62,2
Accident,Major,41.69,-87.61,15
Accident,Major,41.69,-87.6,65
Accident,Major,41.7,-87.71,1
Accident,Major,41.7,-87.7,1
Accident,Major,41.7,-87.69,1
Accident,Major,41.7,-87.68,1
Accident,Major,41.7,-87.67,1
Accident,Major,41.7,-87.66,1
Accident,Major,41.7,-87.64,1
Accident,Major,41.7,-87.6,25
Accident,Major,41.7,-87.59,3
Accident,Major,41.7,-87.58,1
Accident,Major,41.71,-87.66,5
Accident,Major,41.71,-87.65,28
Accident,Major,41.71,-87.64,4
Accident,Major,41.71,-87.63,39
Accident,Major,41.71,-87.62,59
Accident,Major,41.71,-87.61,46
Accident,Major,41.71,-87.6,22
Accident,Major,41.71,-87.59,11
Accident,Major,41.72,-87.69,1
Accident,Major,41.72,-87.67,1
Accident,Major,41.72,-87.65,1
Accident,Major,41.72,-87.63,78
Accident,Major,41.72,-87.61,3
Accident,Major,41.72,-87.59,9
Accident,Major,41.73,-87.75,1
Accident,Major,41.73,-87.71,1
Accident,Major,41.73,-87.67,1
Accident,Major,41.73,-87.66,1
Accident,Major,41.73,-87.65,6
Accident,Major,41.73,-87.63,116
Accident,Major,41.73,-87.6,1
Accident,Major,41.73,-87.59,1
Accident,Major,41.73,-87.57,2
Accident,Major,41.74,-87.75,3
Accident,Major,41.74,-87.73,3
Accident,Major,41.74,-87.72,1
Accident,Major,41.74,-87.71,2
Accident,Major,41.74,-87.63,69
Accident,Major,41.74,-87.59,3
Accident,Major,41.74,-87.58,1
Accident,Major,41.75,-87.75,2
Accident,Major,41.75,-87.73,2
Accident,Major,41.75,-87.71,1
Accident,Major,41.75,-87.67,2
Accident,Major,41.75,-87.66,1
Accident,Major,41.75,-87.65,2
Accident,Major,41.75,-87.63,62
Accident,Major,41.75,-87.61,1
Accident,Major,41.75,-87.6,3
Accident,Major,41.75,-87.59,2
Accident,Major,41.76,-87.68,1
Accident,Major,41.76,-87.66,1
Accident,Major,41.76,-87.64,1
Accident,Major,41.76,-87.63,117
Accident,Major,41.76,-87.62,3
Accident,Major,41.76,-87.59,1
Accident,Major,41.76,-87.57,1
Accident,Major,41.77,-87.81,3
Accident,Major,41.77,-87.77,1
Accident,Major,41.77,-87.75,1
Accident,Major,41.77,-87.74,2
Accident,Major,41.77,-87.73,2
Accident,Major,41.77,-87.7,4
Accident,Major,41.77,-87.69,3
Accident,Major,41.77,-87.68,1
Accident,Major,41.77,-87.67,1
Accident,Major,41.77,-87.65,1
Accident,Major,41.77,-87.64,44
Accident,Major,41.77,-87.63,68
Accident,Major,41.77,-87.62,3
Accident,Major,41.77,-87.61,2
Accident,Major,41.77,-87.59,1
Accident,Major,41.77,-87.58,1
Accident,Major,41.77,-87.57,1
Accident,Major,41.78,-87.8,1
Accident,Major,41.78,-87.77,1
Accident,Major,41.78,-87.75,4
Accident,Major,41.78,-87.74,1
Accident,Major,41.78,-87.73,1
Accident,Major,41.78,-87.71,1
Accident,Major,41.78,-87.7,1
Accident,Major,41.78,-87.69,2
Accident,Major,41.78,-87.64,82
Accident,Major,41.78,-87.63,3
Accident,Major,41.78,-87.61,1
Accident,Major,41.78,-87.59,1
Accident,Major,41.78,-87.58,2
Accident,Major,41.79,-87.81,8
Accident,Major,41.79,-87.8,1
Accident,Major,41.79,-87.79,1
Accident,Major,41.79,-87.78,1
Accident,Major,41.79,-87.77,1
Accident,Major,41.79,-87.76,3
Accident,Major,41.79,-87.75,6
Accident,Major,41.79,-87.74,1
Accident,Major,41.79,-87.73,2
Accident,Major,41.79,-87.7,2
Accident,Major,41.79,-87.68,1
Accident,Major,41.79,-87.65,2
Accident,Major,41.79,-87.64,116
Accident,Major,41.79,-87.63,1
Accident,Major,41.79,-87.61,2
Accident,Major,41.79,-87.6,1
Accident,Major,41.79,-87.59,8
Accident,Major,41.79,-87.58,4
Accident,Major,41.8,-87.8,5
Accident,Major,41.8,-87.75,4
Accident,Major,41.8,-87.73,6
Accident,Major,41.8,-87.72,2
Accident,Major,41.8,-87.71,4
Accident,Major,41.8,-87.69,6
Accident,Major,41.8,-87.67,2
Accident,Major,41.8,-87.65,1
Accident,Major,41.8,-87.64,129
Accident,Major,41.8,-87.63,1
Accident,Major,41.8,-87.62,1
Accident,Major,41.8,-87.61,1
Accident,Major,41.8,-87.6,1
Accident,Major,41.8,-87.59,6
Accident,Major,41.81,-87.77,5
Accident,Major,41.81,-87.76,6
Accident,Major,41.81,-87.75,39
Accident,Major,41.81,-87.74,39
Accident,Major,41.81,-87.73,20
Accident,Major,41.81,-87.72,1
Accident,Major,41.81,-87.71,4
Accident,Major,41.81,-87.64,61
Accident,Major,41.81,-87.63,35
Accident,Major,41.81,-87.6,7
Accident,Major,41.81,-87.59,2
Accident,Major,41.82,-87.75,3
Accident,Major,41.82,-87.74,13
Accident,Major,41.82,-87.73,45
Accident,Major,41.82,-87.72,36
Accident,Major,41.82,-87.71,39
Accident,Major,41.82,-87.7,1
Accident,Major,41.82,-87.69,5
Accident,Major,41.82,-87.67,1
Accident,Major,41.82,-87.65,2
Accident,Major,41.82,-87.64,40
Accident,Major,41.82,-87.63,44
Accident,Major,41.82,-87.62,2
Accident,Major,41.82,-87.61,1
Accident,Major,41.82,-87.6,2
Accident,Major,41.83,-87.73,4
Accident,Major,41.83,-87.72,1
Accident,Major,41.83,-87.71,13
Accident,Major,41.83,-87.7,58
Accident,Major,41.83,-87.69,43
Accident,Major,41.83,-87.68,46
Accident,Major,41.83,-87.67,23
Accident,Major,41.83,-87.65,4
Accident,Major,41.83,-87.64,127
Accident,Major,41.83,-87.63,3
Accident,Major,41.83,-87.61,7
Accident,Major,41.84,-87.73,1
Accident,Major,41.84,-87.72,1
Accident,Major,41.84,-87.71,1
Accident,Major,41.84,-87.7,1
Accident,Major,41.84,-87.69,2
Accident,Major,41.84,-87.68,2
Accident,Major,41.84,-87.67,5
Accident,Major,41.84,-87.66,53
Accident,Major,41.84,-87.65,88
Accident,Major,41.84,-87.64,134
Accident,Major,41.84,-87.63,47
Accident,Major,41.84,-87.62,36
Accident,Major,41.84,-87.61,7
Accident,Major,41.85,-87.73,3
Accident,Major,41.85,-87.72,1
Accident,Major,41.85,-87.71,3
Accident,Major,41.85,-87.7,1
Accident,Major,41.85,-87.68,2
Accident,Major,41.85,-87.67,5
Accident,Major,41.85,-87.66,1
Accident,Major,41.85,-87.65,173
Accident,Major,41.85,-87.64,28
Accident,Major,41.85,-87.63,15
Accident,Major,41.85,-87.62,11
Accident,Major,41.86,-87.77,3
Accident,Major,41.86,-87.76,1
Accident,Major,41.86,-87.74,2
Accident,Major,41.86,-87.73,3
Accident,Major,41.86,-87.72,1
Accident,Major,41.86,-87.7,2
Accident,Major,41.86,-87.69,1
Accident,Major,41.86,-87.68,3
Accident,Major,41.86,-87.67,3
Accident,Major,41.86,-87.66,8
Accident,Major,41.86,-87.65,170
Accident,Major,41.86,-87.64,3
Accident,Major,41.86,-87.63,10
Accident,Major,41.86,-87.62,11
Accident,Major,41.87,-87.78,57
Accident,Major,41.87,-87.77,50
Accident,Major,41.87,-87.76,75
Accident,Major,41.87,-87.75,32
Accident,Major,41.87,-87.74,76
Accident,Major,41.87,-87.73,72
Accident,Major,41.87,-87.72,80
Accident,Major,41.87,-87.71,56
Accident,Major,41.87,-87.7,62
Accident,Major,41.87,-87.69,80
Accident,Major,41.87,-87.68,53
Accident,Major,41.87,-87.67,136
Accident,Major,41.87,-87.66,74
Accident,Major,41.87,-87.65,249
Accident,Major,41.87,-87.64,19
Accident,Major,41.87,-87.63,12
Accident,Major,41.87,-87.62,12
Accident,Major,41.88,-87.78,1
Accident,Major,41.88,-87.77,1
Accident,Major,41.88,-87.76,1
Accident,Major,41.88,-87.75,2
Accident,Major,41.88,-87.74,1
Accident,Major,41.88,-87.71,1
Accident,Major,41.88,-87.7,1
Accident,Major,41.88,-87.69,2
Accident,Major,41.88,-87.67,7
Accident,Major,41.88,-87.65,145
Accident,Major,41.88,-87.64,7
Accident,Major,41.88,-87.63,7
Accident,Major,41.88,-87.62,6
Accident,Major,41.89,-87.77,1
Accident,Major,41.89,-87.76,1
Accident,Major,41.89,-87.75,3
Accident,Major,41.89,-87.73,3
Accident,Major,41.89,-87.72,2
Accident,Major,41.89,-87.69,2
Accident,Major,41.89,-87.68,3
Accident,Major,41.89,-87.67,17
Accident,Major,41.89,-87.66,156
Accident,Major,41.89,-87.65,41
Accident,Major,41.89,-87.64,13
Accident,Major,41.89,-87.63,7
Accident,Major,41.89,-87.62,22
Accident,Major,41.9,-87.78,1
Accident,Major,41.9,-87.77,2
Accident,Major,41.9,-87.76,1
Accident,Major,41.9,-87.75,2
Accident,Major,41.9,-87.74,2
Accident,Major,41.9,-87.72,1
Accident,Major,41.9,-87.69,2
Accident,Major,41.9,-87.68,1
Accident,Major,41.9,-87.67,299
Accident,Major,41.9,-87.66,7
Accident,Major,41.9,-87.64,1
Accident,Major,41.9,-87.63,23
Accident,Major,41.9,-87.62,3
Accident,Major,41.91,-87.8,1
Accident,Major,41.91,-87.77,1
Accident,Major,41.91,-87.71,1
Accident,Major,41.91,-87.7,1
Accident,Major,41.91,-87.69,1
Accident,Major,41.91,-87.68,28
Accident,Major,41.91,-87.67,70
Accident,Major,41.91,-87.66,1
Accident,Major,41.91,-87.65,2
Accident,Major,41.91,-87.64,1
Accident,Major,41.91,-87.63,16
Accident,Major,41.92,-87.8,1
Accident,Major,41.92,-87.78,1
Accident,Major,41.92,-87.76,4
Accident,Major,41.92,-87.72,2
Accident,Major,41.92,-87.7,14
Accident,Major,41.92,-87.69,45
Accident,Major,41.92,-87.68,35
Accident,Major,41.92,-87.67,5
Accident,Major,41.92,-87.66,2
Accident,Major,41.92,-87.65,2
Accident,Major,41.92,-87.64,5
Accident,Major,41.92,-87.63,3
Accident,Major,41.93,-87.84,2
Accident,Major,41.93,-87.82,1
Accident,Major,41.93,-87.79,2
Accident,Major,41.93,-87.78,1
Accident,Major,41.93,-87.77,1
Accident,Major,41.93,-87.76,2
Accident,Major,41.93,-87.75,1
Accident,Major,41.93,-87.74,2
Accident,Major,41.93,-87.72,3
Accident,Major,41.93,-87.71,26
Accident,Major,41.93,-87.7,43
Accident,Major,41.93,-87.69,4
Accident,Major,41.93,-87.68,2
Accident,Major,41.93,-87.67,4
Accident,Major,41.93,-87.66,3
Accident,Major,41.93,-87.64,14
Accident,Major,41.94,-87.78,2
Accident,Major,41.94,-87.75,1
Accident,Major,41.94,-87.74,1
Accident,Major,41.94,-87.73,34
Accident,Major,41.94,-87.72,68
Accident,Major,41.94,-87.71,4
Accident,Major,41.94,-87.69,4
Accident,Major,41.94,-87.68,1
Accident,Major,41.94,-87.65,7
Accident,Major,41.94,-87.64,2
Accident,Major,41.95,-87.89,1
Accident,Major,41.95,-87.84,3
Accident,Major,41.95,-87.76,1
Accident,Major,41.95,-87.75,9
Accident,Major,41.95,-87.74,42
Accident,Major,41.95,-87.73,24
Accident,Major,41.95,-87.72,3
Accident,Major,41.95,-87.71,3
Accident,Major,41.95,-87.7,5
Accident,Major,41.95,-87.69,12
Accident,Major,41.95,-87.68,6
Accident,Major,41.95,-87.67,2
Accident,Major,41.95,-87.66,1
Accident,Major,41.95,-87.65,5
Accident,Major,41.96,-87.85,1
Accident,Major,41.96,-87.79,1
Accident,Major,41.96,-87.78,3
Accident,Major,41.96,-87.77,3
Accident,Major,41.96,-87.76,97
Accident,Major,41.96,-87.75,51
Accident,Major,41.96,-87.74,4
Accident,Major,41.96,-87.73,5
Accident,Major,41.96,-87.72,1
Accident,Major,41.96,-87.71,3
Accident,Major,41.96,-87.7,6
Accident,Major,41.96,-87.69,3
Accident,Major,41.96,-87.68,1
Accident,Major,41.96,-87.67,4
Accident,Major,41.96,-87.66,7
Accident,Major,41.96,-87.65,6
Accident,Major,41.97,-87.9,2
Accident,Major,41.97,-87.89,12
Accident,Major,41.97,-87.88,4
Accident,Major,41.97,-87.85,1
Accident,Major,41.97,-87.8,1
Accident,Major,41.97,-87.79,2
Accident,Major,41.97,-87.78,43
Accident,Major,41.97,-87.77,59
Accident,Major,41.97,-87.76,5
Accident,Major,41.97,-87.75,53
Accident,Major,41.97,-87.74,2
Accident,Major,41.97,-87.73,1
Accident,Major,41.97,-87.72,1
Accident,Major,41.97,-87.71,1
Accident,Major,41.97,-87.7,4
Accident,Major,41.97,-87.69,5
Accident,Major,41.97,-87.68,1
Accident,Major,41.97,-87.67,2
Accident,Major,41.97,-87.66,3
Accident,Major,41.97,-87.65,1
Accident,Major,41.98,-87.91,2
Accident,Major,41.98,-87.89,2
Accident,Major,41.98,-87.88,4
Accident,Major,41.98,-87.86,3
Accident,Major,41.98,-87.85,8
Accident,Major,41.98,-87.84,12
Accident,Major,41.98,-87.83,24
Accident,Major,41.98,-87.82,41
Accident,Major,41.98,-87.81,29
Accident,Major,41.98,-87.8,67
Accident,Major,41.98,-87.79,51
Accident,Major,41.98,-87.78,4
Accident,Major,41.98,-87.77,1
Accident,Major,41.98,-87.76,14
Accident,Major,41.98,-87.75,27
Accident,Major,41.98,-87.74,1
Accident,Major,41.98,-87.73,1
Accident,Major,41.98,-87.71,2
Accident,Major,41.98,-87.7,2
Accident,Major,41.98,-87.69,2
Accident,Major,41.98,-87.67,4
Accident,Major,41.98,-87.66,8
Accident,Major,41.99,-87.89,4
Accident,Major,41.99,-87.81,1
Accident,Major,41.99,-87.8,1
Accident,Major,41.99,-87.79,8
Accident,Major,41.99,-87.78,1
Accident,Major,41.99,-87.77,3
Accident,Major,41.99,-87.76,6
Accident,Major,41.99,-87.75,7
Accident,Major,41.99,-87.73,1
Accident,Major,41.99,-87.72,3
Accident,Major,41.99,-87.71,8
Accident,Major,41.99,-87.7,4
Accident,Major,41.99,-87.69,5
Accident,Major,41.99,-87.68,8
Accident,Major,41.99,-87.67,5
Accident,Major,41.99,-87.66,4
Accident,Major,42.0,-87.77,2
Accident,Major,42.0,-87.71,3
Accident,Major,42.0,-87.7,3
Accident,Major,42.0,-87.69,1
Accident,Major,42.0,-87.68,1
Accident,Major,42.0,-87.67,4
Accident,Major,42.01,-87.82,3
Accident,Major,42.01,-87.71,3
Accident,Major,42.01,-87.69,2
Accident,Major,42.01,-87.68,2
Accident,Major,42.01,-87.67,3
Accident,Minor,41.65,-87.62,1
Accident,Minor,41.65,-87.59,17
Accident,Minor,41.65,-87.58,3
Accident,Minor,41.65,-87.57,4
Accident,Minor,41.65,-87.56,4
Accident,Minor,41.66,-87.6,12
Accident,Minor,41.66,-87.59,1
Accident,Minor,41.67,-87.65,2
Accident,Minor,41.67,-87.61,6
Accident,Minor,41.67,-87.6,2
Accident,Minor,41.68,-87.72,1
Accident,Minor,41.68,-87.67,1
Accident,Minor,41.68,-87.63,1
Accident,Minor,41.68,-87.61,9
Accident,Minor,41.69,-87.71,1
Accident,Minor,41.69,-87.69,2
Accident,Minor,41.69,-87.67,1
Accident,Minor,41.69,-87.6,6
Accident,Minor,41.7,-87.69,1
Accident,Minor,41.7,-87.6,7
Accident,Minor,41.7,-87.59,2
Accident,Minor,41.7,-87.58,1
Accident,Minor,41.71,-87.67,2
Accident,Minor,41.71,-87.65,4
Accident,Minor,41.71,-87.64,1
Accident,Minor,41.71,-87.63,3
Accident,Minor,41.71,-87.62,12
Accident,Minor,41.71,-87.61,9
Accident,Minor,41.71,-87.6,7
Accident,Minor,41.71,-87.59,2
Accident,Minor,41.72,-87.65,2
Accident,Minor,41.72,-87.63,20
Accident,Minor,41.72,-87.59,8
Accident,Minor,41.72,-87.58,2
Accident,Minor,41.73,-87.71,1
Accident,Minor,41.73,-87.67,2
Accident,Minor,41.73,-87.66,1
Accident,Minor,41.73,-87.64,1
Accident,Minor,41.73,-87.63,17
Accident,Minor,41.73,-87.59,1
Accident,Minor,41.73,-87.57,1
Accident,Minor,41.74,-87.75,1
Accident,Minor,41.74,-87.74,1
Accident,Minor,41.74,-87.73,1
Accident,Minor,41.74,-87.72,1
Accident,Minor,41.74,-87.71,1
Accident,Minor,41.74,-87.7,2
Accident,Minor,41.74,-87.65,1
Accident,Minor,41.74,-87.63,11
Accident,Minor,41.74,-87.59,5
Accident,Minor,41.74,-87.58,1
Accident,Minor,41.75,-87.75,2
Accident,Minor,41.75,-87.67,3
Accident,Minor,41.75,-87.65,1
Accident,Minor,41.75,-87.64,1
Accident,Minor,41.75,-87.63,9
Accident,Minor,41.75,-87.6,1
Accident,Minor,41.75,-87.59,5
Accident,Minor,41.75,-87.58,2
Accident,Minor,41.76,-87.72,1
Accident,Minor,41.76,-87.69,2
Accident,Minor,41.76,-87.68,1
Accident,Minor,41.76,-87.67,1
Accident,Minor,41.76,-87.63,12
Accident,Minor,41.76,-87.61,1
Accident,Minor,41.76,-87.59,1
Accident,Minor,41.76,-87.58,1
Accident,Minor,41.76,-87.57,3
Accident,Minor,41.77,-87.81,1
Accident,Minor,41.77,-87.8,1
Accident,Minor,41.77,-87.75,10
Accident,Minor,41.77,-87.74,2
Accident,Minor,41.77,-87.73,5
Accident,Minor,41.77,-87.71,1
Accident,Minor,41.77,-87.7,1
Accident,Minor,41.77,-87.69,1
Accident,Minor,41.77,-87.67,1
Accident,Minor,41.77,-87.64,7
Accident,Minor,41.77,-87.63,19
Accident,Minor,41.77,-87.62,5
Accident,Minor,41.77,-87.61,1
Accident,Minor,41.77,-87.59,1
Accident,Minor,41.77,-87.58,2
Accident,Minor,41.77,-87.57,1
Accident,Minor,41.78,-87.81,3
Accident,Minor,41.78,-87.78,1
Accident,Minor,41.78,-87.77,1
Accident,Minor,41.78,-87.75,4
Accident,Minor,41.78,-87.73,1
Accident,Minor,41.78,-87.64,18
Accident,Minor,41.78,-87.61,2
Accident,Minor,41.78,-87.6,1
Accident,Minor,41.78,-87.58,6
Accident,Minor,41.79,-87.81,5
Accident,Minor,41.79,-87.8,4
Accident,Minor,41.79,-87.79,3
Accident,Minor,41.79,-87.78,1
Accident,Minor,41.79,-87.77,4
Accident,Minor,41.79,-87.75,5
Accident,Minor,41.79,-87.73,4
Accident,Minor,41.79,-87.71,1
Accident,Minor,41.79,-87.7,1
Accident,Minor,41.79,-87.69,2
Accident,Minor,41.79,-87.67,1
Accident,Minor,41.79,-87.65,1
Accident,Minor,41.79,-87.64,29
Accident,Minor,41.79,-87.63,1
Accident,Minor,41.79,-87.62,1
Accident,Minor,41.79,-87.61,1
Accident,Minor,41.79,-87.6,1
Accident,Minor,41.79,-87.59,4
Accident,Minor,41.79,-87.58,3
Accident,Minor,41.8,-87.75,3
Accident,Minor,41.8,-87.73,5
Accident,Minor,41.8,-87.72,3
Accident,Minor,41.8,-87.71,1
Accident,Minor,41.8,-87.69,2
Accident,Minor,41.8,-87.65,1
Accident,Minor,41.8,-87.64,24
Accident,Minor,41.8,-87.62,3
Accident,Minor,41.8,-87.61,1
Accident,Minor,41.8,-87.59,9
Accident,Minor,41.81,-87.77,3
Accident,Minor,41.81,-87.76,3
Accident,Minor,41.81,-87.75,16
Accident,Minor,41.81,-87.74,9
Accident,Minor,41.81,-87.73,6
Accident,Minor,41.81,-87.71,1
Accident,Minor,41.81,-87.68,1
Accident,Minor,41.81,-87.66,1
Accident,Minor,41.81,-87.64,14
Accident,Minor,41.81,-87.63,3
Accident,Minor,41.81,-87.6,4
Accident,Minor,41.82,-87.75,3
Accident,Minor,41.82,-87.74,6
Accident,Minor,41.82,-87.73,13
Accident,Minor,41.82,-87.72,14
Accident,Minor,41.82,-87.71,5
Accident,Minor,41.82,-87.7,1
Accident,Minor,41.82,-87.69,5
Accident,Minor,41.82,-87.64,22
Accident,Minor,41.82,-87.63,4
Accident,Minor,41.82,-87.62,1
Accident,Minor,41.82,-87.61,1
Accident,Minor,41.82,-87.6,1
Accident,Minor,41.83,-87.74,1
Accident,Minor,41.83,-87.73,2
Accident,Minor,41.83,-87.71,5
Accident,Minor,41.83,-87.7,18
Accident,Minor,41.83,-87.69,9
Accident,Minor,41.83,-87.68,13
Accident,Minor,41.83,-87.67,13
Accident,Minor,41.83,-87.64,24
Accident,Minor,41.83,-87.61,6
Accident,Minor,41.84,-87.74,1
Accident,Minor,41.84,-87.73,1
Accident,Minor,41.84,-87.72,2
Accident,Minor,41.84,-87.69,1
Accident,Minor,41.84,-87.67,6
Accident,Minor,41.84,-87.66,21
Accident,Minor,41.84,-87.65,17
Accident,Minor,41.84,-87.64,58
Accident,Minor,41.84,-87.63,11
Accident,Minor,41.84,-87.62,14
Accident,Minor,41.85,-87.73,1
Accident,Minor,41.85,-87.71,1
Accident,Minor,41.85,-87.69,1
Accident,Minor,41.85,-87.68,1
Accident,Minor,41.85,-87.67,4
Accident,Minor,41.85,-87.65,50
Accident,Minor,41.85,-87.64,6
Accident,Minor,41.85,-87.63,3
Accident,Minor,41.85,-87.62,14
Accident,Minor,41.86,-87.77,1
Accident,Minor,41.86,-87.76,1
Accident,Minor,41.86,-87.75,2
Accident,Minor,41.86,-87.74,2
Accident,Minor,41.86,-87.72,1
Accident,Minor,41.86,-87.69,3
Accident,Minor,41.86,-87.68,1
Accident,Minor,41.86,-87.67,1
Accident,Minor,41.86,-87.65,50
Accident,Minor,41.86,-87.64,1
Accident,Minor,41.86,-87.63,3
Accident,Minor,41.86,-87.62,22
Accident,Minor,41.87,-87.78,18
Accident,Minor,41.87,-87.77,16
Accident,Minor,41.87,-87.76,9
Accident,Minor,41.87,-87.75,7
Accident,Minor,41.87,-87.74,16
Accident,Minor,41.87,-87.73,13
Accident,Minor,41.87,-87.72,11
Accident,Minor,41.87,-87.71,16
Accident,Minor,41.87,-87.7,10
Accident,Minor,41.87,-87.69,14
Accident,Minor,41.87,-87.68,11
Accident,Minor,41.87,-87.67,19
Accident,Minor,41.87,-87.66,12
Accident,Minor,41.87,-87.65,46
Accident,Minor,41.87,-87.64,10
Accident,Minor,41.87,-87.63,6
Accident,Minor,41.87,-87.62,20
Accident,Minor,41.88,-87.76,2
Accident,Minor,41.88,-87.75,5
Accident,Minor,41.88,-87.74,1
Accident,Minor,41.88,-87.73,1
Accident,Minor,41.88,-87.72,1
Accident,Minor,41.88,-87.71,1
Accident,Minor,41.88,-87.69,1
Accident,Minor,41.88,-87.68,1
Accident,Minor,41.88,-87.67,3
Accident,Minor,41.88,-87.65,54
Accident,Minor,41.88,-87.64,6
Accident,Minor,41.88,-87.63,10
Accident,Minor,41.88,-87.62,12
Accident,Minor,41.89,-87.78,1
Accident,Minor,41.89,-87.77,2
Accident,Minor,41.89,-87.76,3
Accident,Minor,41.89,-87.75,3
Accident,Minor,41.89,-87.74,1
Accident,Minor,41.89,-87.73,1
Accident,Minor,41.89,-87.72,1
Accident,Minor,41.89,-87.71,3
Accident,Minor,41.89,-87.7,2
Accident,Minor,41.89,-87.69,1
Accident,Minor,41.89,-87.68,2
Accident,Minor,41.89,-87.67,9
Accident,Minor,41.89,-87.66,55
Accident,Minor,41.89,-87.65,13
Accident,Minor,41.89,-87.64,12
Accident,Minor,41.89,-87.63,5
Accident,Minor,41.89,-87.62,34
Accident,Minor,41.9,-87.79,1
Accident,Minor,41.9,-87.77,1
Accident,Minor,41.9,-87.75,2
Accident,Minor,41.9,-87.74,1
Accident,Minor,41.9,-87.73,4
Accident,Minor,41.9,-87.72,4
Accident,Minor,41.9,-87.7,1
Accident,Minor,41.9,-87.69,2
Accident,Minor,41.9,-87.67,25
Accident,Minor,41.9,-87.66,5
Accident,Minor,41.9,-87.65,2
Accident,Minor,41.9,-87.64,4
Accident,Minor,41.9,-87.63,37
Accident,Minor,41.9,-87.62,10
Accident,Minor,41.91,-87.77,2
Accident,Minor,41.91,-87.76,3
Accident,Minor,41.91,-87.75,2
Accident,Minor,41.91,-87.74,1
Accident,Minor,41.91,-87.72,1
Accident,Minor,41.91,-87.71,3
Accident,Minor,41.91,-87.7,1
Accident,Minor,41.91,-87.69,3
Accident,Minor,41.91,-87.68,8
Accident,Minor,41.91,-87.67,49
Accident,Minor,41.91,-87.66,2
Accident,Minor,41.91,-87.65,2
Accident,Minor,41.91,-87.64,3
Accident,Minor,41.91,-87.63,20
Accident,Minor,41.92,-87.81,2
Accident,Minor,41.92,-87.79,1
Accident,Minor,41.92,-87.78,3
Accident,Minor,41.92,-87.77,3
Accident,Minor,41.92,-87.76,2
Accident,Minor,41.92,-87.73,4
Accident,Minor,41.92,-87.72,1
Accident,Minor,41.92,-87.71,4
Accident,Minor,41.92,-87.7,5
Accident,Minor,41.92,-87.69,36
Accident,Minor,41.92,-87.68,18
Accident,Minor,41.92,-87.67,3
Accident,Minor,41.92,-87.66,1
Accident,Minor,41.92,-87.65,2
Accident,Minor,41.92,-87.64,14
Accident,Minor,41.92,-87.63,3
Accident,Minor,41.93,-87.84,2
Accident,Minor,41.93,-87.82,1
Accident,Minor,41.93,-87.8,3
Accident,Minor,41.93,-87.75,3
Accident,Minor,41.93,-87.73,2
Accident,Minor,41.93,-87.72,1
Accident,Minor,41.93,-87.71,21
Accident,Minor,41.93,-87.7,16
Accident,Minor,41.93,-87.69,11
Accident,Minor,41.93,-87.68,3
Accident,Minor,41.93,-87.67,2
Accident,Minor,41.93,-87.65,1
Accident,Minor,41.93,-87.64,18
Accident,Minor,41.94,-87.84,1
Accident,Minor,41.94,-87.82,1
Accident,Minor,41.94,-87.81,2
Accident,Minor,41.94,-87.8,2
Accident,Minor,41.94,-87.78,3
Accident,Minor,41.94,-87.77,1
Accident,Minor,41.94,-87.76,1
Accident,Minor,41.94,-87.75,3
Accident,Minor,41.94,-87.74,4
Accident,Minor,41.94,-87.73,15
Accident,Minor,41.94,-87.72,38
Accident,Minor,41.94,-87.71,7
Accident,Minor,41.94,-87.7,3
Accident,Minor,41.94,-87.69,3
Accident,Minor,41.94,-87.68,1
Accident,Minor,41.94,-87.67,1
Accident,Minor,41.94,-87.66,2
Accident,Minor,41.94,-87.65,11
Accident,Minor,41.94,-87.64,4
Accident,Minor,41.95,-87.89,1
Accident,Minor,41.95,-87.85,4
Accident,Minor,41.95,-87.84,6
Accident,Minor,41.95,-87.81,2
Accident,Minor,41.95,-87.8,2
Accident,Minor,41.95,-87.79,1
Accident,Minor,41.95,-87.78,1
Accident,Minor,41.95,-87.77,2
Accident,Minor,41.95,-87.76,1
Accident,Minor,41.95,-87.75,10
Accident,Minor,41.95,-87.74,39
Accident,Minor,41.95,-87.73,18
Accident,Minor,41.95,-87.72,6
Accident,Minor,41.95,-87.71,1
Accident,Minor,41.95,-87.7,1
Accident,Minor,41.95,-87.69,2
Accident,Minor,41.95,-87.67,2
Accident,Minor,41.95,-87.66,1
Accident,Minor,41.95,-87.65,11
Accident,Minor,41.96,-87.89,1
Accident,Minor,41.96,-87.88,1
Accident,Minor,41.96,-87.86,1
Accident,Minor,41.96,-87.81,1
Accident,Minor,41.96,-87.78,1
Accident,Minor,41.96,-87.77,2
Accident,Minor,41.96,-87.76,24
Accident,Minor,41.96,-87.75,44
Accident,Minor,41.96,-87.74,2
Accident,Minor,41.96,-87.73,1
